2271	318万	64	64	1	844	1258
2272	333万	52	52	0	844	1231
2273	305万	62	62	0	844	1238
2274	335万	61	61	0	844	1273
2275	347万	61	61	1	844	1303
2276	280万	60	60	0	844	1214
2277	307万	53	53	1	844	1225
2278	319万	55	55	0	844	1286
2279	346万	50	50	0	844	1218
2280	291万	60	60	1	845	1158
2281	310万	53	53	1	845	1228
2282	369万	58	58	0	845	1278
2283	319万	45	45	0	845	1270
2284	343万	63	63	0	845	1279
2285	362万	55	55	0	845	1268
2286	304万	52	52	1	845	1196
2287	348万	64	64	0	845	1277
2288	324万	70	70	0	846	1303
2289	356万	59	59	0	846	1215
2290	347万	56	56	3	846	1213
2291	358万	40	40	0	846	1158
2292	374万	61	61	1	846	1272
2293	335万	64	64	1	846	1233
2294	323万	64	64	0	846	1259
2295	305万	58	58	1	846	1225
2296	303万	62	62	0	846	1232
2297	287万	49	49	1	847	1163
2298	342万	70	70	0	847	1262
2299	339万	59	59	0	847	1245
2300	398万	63	63	0	847	1262
2301	303万	51	51	0	847	1161
2302	365万	67	67	0	847	1297
2303	303万	63	63	1	848	1282
2304	325万	60	60	0	848	1290
2305	356万	58	58	0	848	1297
2306	337万	50	50	2	848	1190
2307	315万	42	42	1	848	1158
2308	288万	65	65	0	848	1254
2309	344万	50	50	1	848	1193
2310	363万	57	57	1	848	1210
2311	357万	64	64	1	848	1271
2312	297万	57	57	1	848	1227
2313	357万	55	55	0	849	1274
2314	362万	59	59	0	849	1309
2315	368万	59	59	0	849	1230
2316	341万	42	42	0	849	1222
2317	353万	59	59	0	849	1245
2318	368万	57	57	1	849	1222
2319	284万	55	55	1	849	1201
2320	388万	63	63	1	849	1302
2321	311万	47	47	1	850	1189
2322	351万	44	44	0	850	1182
2323	336万	61	61	0	850	1261
2324	317万	58	58	0	850	1253
2325	364万	58	58	2	850	1301
2326	337万	59	59	0	850	1302
2327	391万	59	59	1	850	1281
2328	328万	49	49	0	850	1207
2329	351万	43	43	0	850	1172
2330	368万	58	58	1	851	1229
2331	369万	69	69	0	851	1353
